coreName	sampleID	weight_mg	Acetate_uM	Propionate_uM	Butyrate_uM	Isovalerate_uM	Valerate_uM	Hexanoate_uM	Heptanoate_uM	Octanoate_uM	Acetate_nmol	Propionate_nmol	Butyrate_nmol	Isovalerate_nmol	Valerate_nmol	Hexanoate_nmol	Heptanoate_nmol	Octanoate_nmol
1_R1_A	R1_A	64.7	1084.894959	642.9813042	409.3033794	188.7791608	105.5707111	40.44055072	10.36648993	6.557345753	5.030424847	2.981366171	1.897851836	0.875328412	0.489508707	0.187514146	0.048067187	0.030405003
2_R1_B	R1_B	67.19	1589.744227	664.2878393	514.1349334	175.1419566	105.0088347	40.12887914	10.20763191	7.717975795	7.09812871	2.966012082	2.295586843	0.782000104	0.468859211	0.179173445	0.045576568	0.034460377
3_R1_C	R1_C	13.87	293.3608838	355.5595129	155.7042578	125.6336997	102.5463691	39.93836185	10.17290056	6.905817978	6.345224594	7.690544618	3.367792165	2.717383556	2.218018078	0.863843443	0.220033898	0.14936881
4_R1_D	R1_D	47.48	1604.362696	594.0429891	364.7180842	215.5622869	192.4370601	41.43977745	10.21962381	7.34145418	10.13708527	3.75343085	2.304452933	1.362019505	1.215903918	0.261835157	0.064572181	0.04638661
5_R1_E	R1_E	37.52	1332.163845	527.0757271	539.7387302	197.1451029	176.3058387	49.11454049	10.69611194	7.128941853	10.65162989	4.214358159	4.315608184	1.576320119	1.409694873	0.39270688	0.085523283	0.057001134
6_R1_F	R1_F	33.35	1045.264851	484.6991536	611.6212572	193.3956841	171.170955	80.76110005	13.69668467	10.48480669	9.40268232	4.360112327	5.501840394	1.739691311	1.53976871	0.726486657	0.123208558	0.094316102
7_d1_A	D1_A	48.88	459.1400073	384.2546942	175.4378491	140.7697003	116.1408316	40.54740986	10.1026566	7.009561736	2.817962402	2.358355325	1.07674621	0.863971156	0.712811978	0.248858898	0.062004848	0.043021042
8_d1_B	D1_B	51.08	734.6547523	424.262547	199.4287126	157.8987634	133.2067963	40.7407141	10.13993264	7.030249901	4.314730339	2.491753409	1.171272784	0.92736157	0.782342187	0.239275925	0.059553246	0.041289643
9_R2_A	R2_A	42.49	396.820234	326.7334993	151.1310985	124.8655592	101.5028654	39.9166418	10.06955877	6.733886878	2.801743238	2.306896912	1.067058827	0.881611385	0.71665944	0.281830843	0.071095967	0.047544506
10_R2_B	R2_B	58.67	499.7020163	327.6073669	151.148944	124.7834528	101.497885	40.68771708	10.11982366	0	2.555149223	1.675169764	0.772876823	0.638060948	0.518993787	0.208050369	0.051746158	0
11_R2_C	R2_C	50.15	3079.446433	1259.053395	919.3579787	171.1452397	133.9231133	40.54947889	10.07236312	6.974041837	18.42141435	7.531725194	5.499648926	1.023800038	0.801135274	0.242569166	0.060253418	0.041719094
12_R2_D	R2_D	63.75	1224.826032	376.7723239	163.7717635	124.7425554	101.431222	39.9862797	10.0716982	6.761655229	5.763887209	1.77304623	0.770690652	0.58702379	0.477323398	0.188170728	0.047396227	0.031819554
13_R2_E	R2_E	78.95	6216.714121	2143.078522	1583.757709	252.0393047	121.6870905	40.48664698	10.07289932	6.827015521	23.62272623	8.143426935	6.018078691	0.957717434	0.462395531	0.15384413	0.038275742	0.025941794
14_R2_F	R2_F	57.39	2933.746685	694.4623085	432.1394252	132.4061125	103.0344939	39.87557984	10.02850158	7.121455755	15.33584258	3.630226391	2.258961972	0.692138591	0.538601641	0.208445268	0.052422904	0.037226638
15_d2_A	D2_A	67.98	9184.423538	1999.738106	3343.195875	505.5797444	668.5706636	44.69142464	10.47107557	8.505936051	40.53143662	8.824969578	14.7537329	2.231155094	2.950444235	0.197226058	0.046209513	0.037537229
16_d2_B	D2_B	128.2	6413.693179	1936.562752	1463.177458	301.0490516	354.0285505	43.32067791	10.16049091	7.704091985	15.00864239	4.531738109	3.423972209	0.70448296	0.828459947	0.101374441	0.0237765	0.018028296
17_R3_A	R3_A	61.38	1196.474276	646.762066	236.5784751	222.8818735	103.3142943	40.01512502	10.09121546	8.803954455	5.847870362	3.161104917	1.156297532	1.089354221	0.50495745	0.195577346	0.049321679	0.04303008
18_R3_B	R3_B	47.66	739.885766	513.7684797	191.078808	169.6013773	102.0796577	39.99186586	10.0765501	6.294365269	4.657275069	3.233960216	1.202762115	1.067570567	0.642549251	0.251732265	0.063427718	0.039620428
19_R3_D	R3_D	48.15	2628.73145	670.3669463	744.5329626	183.8443241	200.4047218	44.03948371	10.16020428	66.63700468	16.3783891	4.176741098	4.638834658	1.145447502	1.24862755	0.274389307	0.063303453	0.41518383
20_R3_E	R3_E	41.36	2134.2281	797.822434	894.7597033	234.2258563	235.5949967	44.39919115	10.15237654	32.28656701	15.4803779	5.786913206	6.490036533	1.698930292	1.708861194	0.322044423	0.073639095	0.234186898
21_R3_F	R3_F	64.25	2122.622325	629.4989751	446.5468893	197.6094144	190.0929396	41.29820788	10.07061509	6.925953748	9.911077003	2.939294825	2.085043841	0.922689873	0.887593492	0.192832099	0.047022327	0.032339084
22_d3_A	D3_A	50.77	3663.475438	755.7996104	906.8652073	545.1002907	608.069322	81.69602744	19.85124814	10.71605004	21.64748141	4.46602094	5.358667761	3.220998369	3.593082462	0.482741939	0.117301053	0.063321154
23_d3_B	D3_B	70.33	1902.537302	557.0456105	418.0345041	213.1267731	211.0600202	54.82792791	12.65917658	7.55837181	8.115472636	2.376136544	1.783170073	0.90911463	0.900298679	0.233874284	0.053999047	0.032241029
