Samples	GCA 	GCDCA 	GHCA 	GHDCA 	GUDCA 	GLCA 	GDCA 	TaMCA 	TbMCA 	TCA 	TCDCA 	THCA 	THDCA/TUDCA 	TLCA 	TDCA 	aMCA 	bMCA 	CA 	CDCA 	wMCA 	HCA 	HDCA 	UDCA 	LCA	DCA 
R1_A	0.169649962	1.252778894	0.0001	0.004022124	0.01243137	2.083995313	0.032952819	0.0001	0.0001	0.087702235	0.05264365	0.0001	0.009790293	0.034715453	0.002980883	0.017158216	2.916310053	85.60797857	0.0001	0.368721507	1.87406819	0.0001	2.88848134	72.67078335	268.1973292
R1_B	0.255420383	0.186891408	0.030847851	0.002041905	0.010210226	3.268477781	0.030665674	0.0001	0.0001	0.0001	0.039037031	0.0001	0.008422395	0.200313653	0.008357749	0.058909089	4.574396818	73.51975524	0.0001	0.759542463	2.564704182	0.010125257	1.244730714	3.07645188	33.97587206
R2_A	0.343143787	1.553816187	0.018211044	0.0001	0.011295528	0.0001	0.000898024	0.203931017	0.170560685	7.434215628	7.956205311	0.043677221	0.039130264	0.03756686	0.00355745	0.00098045	0.089890069	7.71075845	0.0001	0.008955673	0.014402896	0.0001	0.96527457	0.332242732	38.27056002
R2_B	0.917341996	3.080071087	0.230284021	0.0001	0.026051074	6.21077778	0.0001	0.125084534	0.126582375	8.756941642	16.9605286	0.179122194	0.069385329	0.010178216	0.0001	0.009901969	0.415617469	38.62584504	0.0001	0.046719776	0.080363983	0.0001	1.035419874	16.02512052	45.69892928
R3_A	30.40575507	83.6655913	5.260740516	0.0001	0.345426032	75.87628742	0.094190145	0.977449143	0.82092689	19.27050975	4.926440443	1.733914414	0.045133506	0.150449735	0.00577804	0.01285888	2.974331803	32.05704673	0.0001	0.741468451	0.232234454	0.001336965	0.336440561	0.0001	196.9329429
R3_B	44.48175278	117.7616993	6.928211243	0.009669972	0.405254454	119.2787472	0.221062861	0.204856398	0.254640793	22.9075361	6.139857059	1.520957891	0.060557924	4.823474797	0.049317429	0.0001	3.28650016	61.79948273	0.0001	0.710162784	0.256699643	0.010144817	0.435718108	0.0001	248.3536474
R4_A	0.705493396	0.880834186	0.0001	0.384488451	0.300538414	1.755280476	0.062909106	23.77681926	19.03669689	33.39609697	3.195510281	0.094589998	1.032042032	0.149655822	1.668359056	0.0001	10.03065381	61.52984007	298.8711675	99.35649711	2.45900818	0.0001	220.9613756	5.147056406	213.1178162
R4_B	0.0001	1.591079105	0.0001	0.0001	0.105830635	7.932702104	0.135029668	18.80204499	15.03044263	6.055848264	1.075772472	0.090672114	0.717427082	1.068651786	0.297339305	0.0001	11.98968278	61.21865776	870.4481754	105.3731326	0.328549433	0.0001	706.312789	179.6900247	1494.366207
R5_B	7.731229812	7.44907254	0.0001	0.0001	0.038353662	0.0001	0.0001	0.0001	0.0001	0.54122283	2.63109258	0.0001	0.004928613	0.041417215	0.010948136	0.0001	0.0001	9.32480015	0.0001	0.0001	0.026190318	0.0001	0.03498346	0.0001	2.566309653
R6_A	0.010928999	0.014036045	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.091802647	0.097595549	0.0001	0.003913778	0.009771916	0.011045662	0.0001	0.0001	7.762580847	0.0001	0.138714752	0.148668456	0.0001	0.045058298	0.308664187	0.983050014
R6_B	0.025778602	0.02880917	0.0001	0.0001	0.033552123	0.0001	0.0001	0.0001	0.0001	0.0001	0.105151247	0.0001	0.004399874	0.006071938	0.011841333	0.0001	0.0001	8.635816278	0.0001	0.09285271	0.122717539	0.0001	0.24523677	0.179820059	1.31784071
D1_A	0.062114842	0.056938787	0.0001	0.001020204	0.000583371	6.485887425	0.012715826	0.0001	0.052743615	0.0001	0.011605123	0.045227859	0.009801202	0.003440437	0.003656949	0.069155226	0.015822349	0.309930026	0.0001	0.040921031	0.035191495	2.763241543	0.023991059	50.74332459	59.42670755
D1_B	0.252080631	0.457984661	0.0001	0.005614751	0.036979757	195.997465	0.249877276	0.0001	0.0001	0.077625021	0.13045349	0.0001	0.02117158	0.219865043	0.043184536	0.129716835	0.0001	0.229874173	0.0001	0.047277294	0.025681352	5.150375473	0.087426401	176.033975	57.09395033
D2_A	0.437206278	1.572386197	0.089813093	0.16172026	0.126431243	28.44561569	0.782364269	0.661084966	0.95637801	1.548081657	1.89703314	0.337354126	0.123224431	1.401850526	4.049213172	0.268522026	1.327447228	12.36811456	39.50375482	16.36511033	0.70072928	0.274002735	30.91070599	70.20748562	165.8838518
D2_B	0.003160284	0.023631436	0.0001	0.000295019	0.002121676	7.338303737	0.120766276	0.0001	0.0001	0.0001	0.005334123	0.0001	0.001997225	0.010880774	0.032887379	0.031218113	0.287651151	1.410963203	0.0001	0.540316704	0.253037882	54.69881056	0.067812676	55.29612006	193.653581
D3_A	0.267975417	0.351331671	0.0001	0.005519078	0.066529933	41.94470418	0.898152522	0.0001	0.0001	0.117296639	0.125688144	0.0001	0.012229273	0.012505284	0.112754037	0.272761578	0.641511405	1.144726435	0.0001	22.45487845	9.901718106	15.99555941	11.67549142	151.2190676	182.1618744
D3_B	0.160852499	0.326338898	0.0001	0.001318515	0.012310191	8.440614604	0.408423996	0.0001	0.0001	0.0001	0.08330656	0.0001	0.014887529	0.039220631	0.060676353	0.089424276	0.390678694	0.803604875	0.0001	5.029548054	2.740777552	3.690980112	1.981833094	81.48983076	253.3744544
