phylum	taxon	total	color	D1_A	D1_B	D2_A	D2_B	D3_A	D3_B	D4_A	D4_B	D5_A	D5_B	R1_A	R1_B	R1_C	R1_D	R1_E	R1_F	R2_A	R2_B	R2_C	R2_E	R2_F	R3_A	R3_B	R3_D	R3_E	R3_F	R4_A	R4_B	R4_C	R4_D	R4_E	R4_F	R5_B	R5_C	R5_D	R5_E	R5_F	R6_A	R6_B	R6_C	R6_D	R6_E
01_Bacteroidetes	Bacteroides	4847674	darkgreen	19.21457931	19.83035068	1.975221091	10.65646022	35.80463651	34.65977336	22.62089726	30.29706965	7.328461226	42.37918216	0	0.040520691	23.00325387	14.94396882	18.10913452	10.67528888	0.016465423	0.091044132	18.89306043	33.08886236	22.29707197	0.007872776	0.004983678	38.21299371	39.2173189	41.0125969	1.776744883	1.840400471	0.567843568	10.92689907	2.853990069	7.292515702	0.016505736	13.22460208	1.025068861	4.536042449	38.75274898	0.305693542	0	13.11902693	10.0931677	27.54683124
01_Bacteroidetes	Alistipes	464350	green3	7.804684792	7.391124444	0.329551143	3.154720482	4.672518569	6.156979477	3.70217518	7.615877339	0	0.276155072	0	0	3.51925784	12.30597898	11.15830502	8.337750451	0.021953897	0.004791796	4.317548747	0.204673375	0	0	0	3.840626394	5.230016653	5.058139535	3.26861084	3.445229682	0.531208499	4.931783978	0.621959171	1.328091288	0	0.049125565	0.003486629	0.01941245	0	0.01637644	0.004348393	1.726035332	3.134345526	8.550610369
01_Bacteroidetes	Parabacteroides	234726	lightgreen	1.010251077	0.987896969	0	0	4.096331308	4.705206538	4.721790639	7.676400868	0.436459602	4.370685077	0	0	1.465395888	0.528990047	1.239256446	0.48499947	0	0	0	0	0.013339558	0	0	10.86773378	12.72377186	12.75678295	0	0	1.039520081	8.903856117	2.111651703	2.191110898	0	2.85910788	0.02789303	0.220007765	0	0.03275288	0	0.44019693	0.885668277	1.685652919
01_Bacteroidetes	Prevotella	24449	seagreen	0	0.051722354	0.016686134	0.013917884	0.157551204	0.266332446	0.014565935	0	0	0.010621349	0.015498269	0	0	0	0.24985009	1.401993003	0	0	0	0.068224458	0	0.023618328	0.012459196	0.351850934	0.73376353	0.198643411	3.538496139	1.998674912	4.54732793	14.45242148	3.48096504	5.695929424	0.049517207	0	0	0.090591433	0.047125353	0.005458813	0.002174197	0.01158413	0	0
02_Firmicutes	Lactobacillus	3457702	midnightblue	0.029713267	0.010344471	0.025029201	0.023196474	0.058519019	0.041777639	0.009710623	0.050436274	0.020300447	0.026553372	38.47703673	46.39619106	2.686174509	0.062643558	0.019988007	0.005300541	0.1701427	0.225214433	0.581324936	4.349309227	4.348696058	27.05479452	29.03989435	0.118935527	0.104079933	0.019379845	1.176999775	2.686984688	0.361771306	0.13322478	0.035110598	0.239727669	2.009573327	0.275103164	0.149925037	0	0	0.534963699	0.610949254	0.052128584	0.011502185	0.00543759
02_Firmicutes	Lachnospiraceae_unclassified	1010175	mediumblue	2.585054227	1.70166546	12.99641248	8.239387613	6.243529147	5.290093477	8.292872402	6.001916578	18.09784815	7.875730218	0.00516609	0.005065086	0.726928669	2.220366117	1.654007595	2.944450334	0.060373216	0.052709761	5.038149449	7.265904827	17.91502701	0.05904582	0.014951035	4.960602607	4.553497086	8.745155039	7.961616313	8.763987044	7.725420158	4.440825994	6.936851081	9.584312221	0.028885038	2.628217725	3.873644573	2.310081532	0.298460572	0.103717452	0.041309736	4.378801043	9.339774557	6.848644681
02_Firmicutes	Clostridiales_unclassified	709832	blue3	18.60545734	19.75793938	4.21324879	2.667594526	1.237902318	1.023552144	6.637211109	2.773995057	5.054811206	1.497610196	0.273802759	0.744567695	4.606189278	14.40801838	9.209474315	25.20937136	0.038419319	0.052709761	0.641879617	0.119392802	0.046688455	0.011809164	0.019934714	0.728480103	0.738967527	0.843023256	0.014993628	0.011042403	5.069377662	2.380776158	4.935546973	4.554825718	0.02063217	3.836706622	9.319758725	1.009447392	0.235626767	0.649598777	1.54367961	2.218360846	4.583620888	3.724749191
02_Firmicutes	Firmicutes_unclassified	498911	blue	2.976278909	2.834385021	2.381945603	2.194386453	1.116362818	0.872108204	1.046319674	0.539668129	0	0	0.01033218	0.005065086	0.646158817	1.252871163	1.279232461	2.112265451	0	0	1.580477171	0.068224458	0	0	0	0.242826701	0.260199833	0.213178295	0	0.011042403	1.066996382	0.967113216	2.221999298	1.236994774	0	0	0.013946515	0.025883266	0	0.005458813	0	0.115841297	0.563607085	0.638916832
02_Firmicutes	Clostridium_XlVa	482323	dodgerblue4	0.460555638	0.398262129	2.755297847	1.363952679	2.51181634	2.992323359	0.385997281	0.741413224	2.405602923	0.355815189	0.00516609	0	0.057692751	0.271455419	0.299820108	0.230573518	0.010976948	0.004791796	5.135036938	3.308886236	2.734609484	0	0	0.178403291	0.275811823	0.765503876	7.714221456	4.516342756	1.19063974	1.218760023	0.43135878	0.632881047	0.008252868	3.404401651	2.189602873	0.685906561	3.28306629	0	0.004348393	0.532869968	0.678628939	0.690573938
02_Firmicutes	Clostridium_XI	411981	dodgerblue1	0.529886594	0.481017896	2.947188386	0.241243331	1.323430115	0.929552457	3.277335405	1.679527916	0.395858709	0.669144981	0.00516609	0.101301727	0.076154432	0.264495023	0.009994004	0.023852433	0	0	0.03027734	1.040422992	0.153404922	0.062982208	0.03239391	5.039892958	4.475437136	0.266472868	0.09745858	0.062573616	1.30512433	0.113487775	3.455886041	2.306180179	0.061896509	1.129887994	2.405773857	0.317070014	0.109959158	0	0.00652259	2.658557776	1.19047619	0.600853702
02_Firmicutes	Ruminococcaceae_unclassified	292933	deepskyblue4	15.00519982	15.57877315	2.692724846	2.087682672	7.04929102	9.02396992	6.241503205	4.796489635	0.446609825	0.525756771	0.015498269	0.005065086	4.869268225	12.1319691	19.08354987	13.26195272	0.021953897	0.009583593	5.522586896	2.012621525	0.160074702	0.011809164	0.009967357	4.821844492	5.167568693	4.33624031	0.119949022	0.283421673	6.873654806	4.95892236	5.672869539	5.139761231	0.008252868	0.736883474	0.31379659	0.194124499	0.14137606	0.038211693	0	3.029249928	6.021394065	5.345151029
02_Firmicutes	Blautia	253158	deepskyblue1	1.465854504	1.960277232	17.44326715	11.08791464	4.501462975	2.877434853	4.86744999	2.526857316	36.08404385	15.25756771	0	0	0.572312095	2.916405652	3.198081151	3.811088731	0.005488474	0.004791796	13.83674458	5.526181136	6.75648636	0	0.004983678	2.70578324	2.560366361	2.61627907	4.782967239	10.36145465	15.11654531	5.29691856	12.25861464	9.876779978	0.037137905	11.652584	20.31309926	8.217937104	0.015708451	0	0.004348393	4.390385172	13.11249137	10.91868084
02_Firmicutes	Enterococcus	116565	skyblue3	0	0.284472949	0	0	0	0	0	0	0	0	0	0.005065086	0.00230771	0	0.004997002	0.00265027	96.29527991	94.79610906	0.187719511	0.068224458	0.066697792	0	0	0.009911294	0.005203997	0	0	0.198763251	0.279342401	0.029605507	0	0	0	0	0	0	0	0.622304711	3.667869722	0.081088908	0	0
02_Firmicutes	Oscillibacter	64860	skyblue	0.782449364	0.936174615	0.008343067	0.171653909	1.143371596	2.182881613	0.776849874	1.689615171	0.040600893	0.260223048	0.00516609	0	0.251540396	1.259831558	1.064361383	0.532704336	0	0.004791796	0.296717936	0.187617261	0.006669779	0	0.004983678	1.561028792	2.144046628	2.369186047	0	0.003680801	0.032055685	0.236844053	0.135426594	0.340413291	0.008252868	0.088426017	0.111572121	0.006470817	0	0	0	0.086880973	0.598113642	0.641635627
02_Firmicutes	Phascolarctobacterium	44552	steelblue4	0.901302432	1.17926968	2.081595194	8.898167479	5.433265811	6.76797744	3.214216353	4.206385232	0	0	0	0	0.535388734	1.266791954	2.308614831	1.950598961	0	0	5.00181664	7.146512025	0	0	0	6.021111056	6.099084097	4.350775194	0	0	0.018317534	0.076480892	0.085268596	0.421920698	0	0	0	0	0	0	0	0	0	0
02_Firmicutes	Ruminococcus	42405	steelblue1	0.282276036	0.263784007	0.035458034	0.097425191	2.237227099	4.209097081	4.19984463	3.969334746	7.957775071	5.528412108	0	0.020260345	0.138462604	1.983712675	1.783929642	1.608714089	0	0	0	0	0	0	0	0	0.005203997	0	0	0	6.479827815	5.050206005	9.645382956	0.100685621	0	1.13480055	2.147763328	10.29506924	0	0	0	2.45004344	10.46123764	6.970990457
02_Firmicutes	Faecalibacterium	35326	royalblue4	1.941266776	1.458570394	1.731186384	6.369751798	1.818591042	1.535328216	4.471742086	6.46088667	3.53227771	4.519383962	0	0	0.103846953	0.68907914	0.619628223	0.426693523	0.010976948	0	1.816640426	2.763090568	0	0	0	3.444174637	2.919442132	0.54748062	2.271534598	1.218345112	3.370426341	7.596279575	10.7789537	8.812389126	0	0.520730988	0.763571703	2.128898667	0.015708451	0	0	4.274543875	9.788359788	6.190696283
02_Firmicutes	Anaerostipes	35196	royalblue1	0.965681177	0.553429192	5.917320207	4.347019253	1.827593968	1.112329626	2.337832589	1.487870076	7.835972391	1.864046734	0	0	0.138462604	0.577712814	0.989406356	2.157320047	0.016465423	0	8.386823301	3.684120757	8.397252051	0	0	1.645274791	0.76498751	2.199612403	0	0.184040047	2.275953657	1.201490144	2.151778101	2.272618306	0	0.677932796	0.589240264	1.067684742	0	0	0	4.373008978	2.622498275	2.030939887
02_Firmicutes	Clostridium_XVIII	34375	slateblue4	0.054474323	0.093100238	6.319873185	3.377406634	3.718208418	1.733771999	0.883666731	0.348010289	0.578562728	0.244291025	0	0	0.512311633	0.341059372	0.169898061	0.545955687	0	0	0.41177183	1.125703565	0.026679117	0	0	0.237871054	0.270607827	0.295542636	0.727190944	1.936101296	0.21523103	0.108553524	0.235742589	0.738361222	0	0.442130084	0.418395453	0.155299599	0	3.881216224	4.328825499	3.735881842	1.017943409	0.48666431
02_Firmicutes	Clostridium_sensu_stricto	33744	purple3	0.232753925	0.124133651	0.137660604	0.00927859	2.13369345	2.067993107	1.354631967	0.776718616	0	0	0	0.015195259	0.023077101	0.10440593	0.13991605	0	0	0	0	0	0.08670713	0	0	0.991129392	0.525603664	0.087209302	1.724267186	0.43065371	0.032055685	0.007401377	0.095300196	0	0	0	0	0	0	0	0.171761534	0.318563568	0	0
