coreID	dry_weight	sampleID	lactate_RT	lactate_uM.mg	lactate_area	succinate_RT	succinate_uM.mg	succinate_area
S00022742	2.96	R1_A	9.745	0.237926395	329881.95	12.75421667	0.085455198	351229.3008
S00022743	5.16	R1_B	9.745016667	0.119856957	297248.2335	12.7606	0.115519937	823387.4732
S00022744	1.75	R1_C	9.745083333	0.155997227	165105.8265	12.7543	0.158951803	386098.5219
S00022745	4.04	R1_D	9.74495	0.023543268	96599.919	12.75416667	0.078012611	437217.2028
S00022746	5.17	R1_E	9.745016667	0.024477433	108728.752	12.76058333	0.066065214	473631.6244
S00022747	4.66	R1_F	9.745	0.021318148	98231.807	12.75421667	0.059513255	384945.9335
S00022748	0.58	D1_A	9.744983333	0.123310867	87489.328	12.7542	0.165901578	133927.1778
S00022749	3.78	D1_B	9.738533333	0.057690132	143986.162	12.74775	0.0754138	395632.4091
S00022750	2.12	R2_A	9.795766667	31.90642618	19972579.22	12.76045	0.11238797	330912.2234
S00022751	4.49	R2_B	9.796	12.24063016	16263407.67	12.75431667	0.038193716	238415.3845
S00022752	4.05	R2_C	9.8022	15.02095588	17981645.92	12.75416667	0.069696279	391770.9565
S00022753	2.62	R2_D	9.8404	54.07180552	41624878.83	12.7669	1.839920082	6230549.856
S00022754	3.71	R2_E	9.795966667	18.45830934	20217895.04	12.75428333	0.217544972	1111279.032
S00022755	3.36	R2_F	9.776716667	11.04364269	11041283.52	12.81773333	11.93137279	40394481.61
S00022756	4.2	D2_A	9.745066667	0.034141223	115224.3605	12.75426667	0.07925376	461640.292
S00022757	0.83	D2_B	9.751416667	8.751798111	2606645.452	12.7479	0.216815434	250154.7037
S00022758	4.19	R3_A	9.7451	0.245555062	452680.36	12.76066667	0.039778529	231734.3459
S00022759	4.79	R3_B	9.751466667	NA	12211.60801	12.76066667	0.000578245	3860.564272
S00022760	5.08	R3_D	9.744883333	0.019739213	98591.7725	12.7541	0.04137886	292067.9025
S00022761	5.93	R3_E	9.745116667	0.039205706	149534.13	12.75433333	0.046621305	383746.9544
S00022762	5.25	R3_F	9.745083333	0.007015355	74084.41	12.74793333	0.026312574	192148.8033
S00022763	3.85	D3_A	9.744866667	0.031693701	106982.3655	12.75408333	0.091349874	487617.396
S00022764	3.42	D3_B	9.744916667	NA	52398.0615	12.74776667	0.024223263	115328.525
S00022765	5.13	R4_A	9.745133333	NA	48770.37907	12.75433333	0.006681328	47750.36479
S00022766	4.85	R4_B	9.745116667	0.303725227	619004.7553	12.7607	0.147782923	988245.9155
S00022767	0.63	R4_C	9.744866667	0.202753602	109186.3535	12.75408333	0.925696076	805734.267
S00022768	6.83	R4_D	9.745016667	0.048697866	187992.671	12.7606	0.226569671	2106606.623
S00022769	5.69	R4_E	9.745083333	0.049681382	168829.311	12.75428333	0.166459049	1301336.972
S00022770	3.56	R4_F	9.745	0.070171962	156195.4725	12.75421667	0.085934065	424450.7254
S00022771	4.25	D4_A	9.744966667	0.064123603	164925.2995	12.76053333	0.562459741	3211799.348
S00022772	3	D4_B	9.744866667	0.159461711	243812.32	12.74771667	0.105969882	440998.1152
S00022773	4.66	R5_B	9.687733333	NA	13624.893	12.76055	0.103117668	664936.2253
S00022774	3.94	R5_C	9.744883333	0.008598951	72943.614	12.76045	0.038198656	209304.3096
S00022775	4.47	R5_D	9.744933333	0.025483017	103853.005	12.7605	0.053698581	333361.7869
S00022776	3.05	R5_E	9.744966667	0.026087743	90597.2795	12.88141667	23.46688963	71661621.08
S00022777	0.81	R5_F	9.744866667	0.193869883	120482.6325	12.7668	0.430839624	483870.4091
S00022778	4.09	D5_A	9.74505	0.058006777	151364.0815	12.77335	1.563510296	8053437.144
S00022779	2.39	D5_B	9.745	0.032272867	89656.74764	12.76693333	2.106497789	6484411.684
S00022780	4.83	R6_A	9.745116667	0.132249938	304977.9175	12.7607	0.116493583	777620.4213
S00022781	5.6	R6_B	9.7449	0.058329368	185705.2665	12.76048333	0.121547859	939016.6882
S00022782	6.53	R6_C	9.745116667	0.019982585	110247.5385	12.75431667	0.078919337	712734.4435
S00022783	2.78	R6_D	9.73865	0.040895765	103768.564	12.76058333	0.49000151	1859706.486
S00022784	8.14	R6_E	9.744916667	0.028829313	150372.915	12.76048333	0.156625385	1742899.019
S00022785	4.35	R6_F	9.7449	0.026478767	104344.366	12.76683333	0.427152395	2517351.596
